;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;Variables ;Description ;;
;annee;2019;;
;BE19;Code bassin d'emploi ;;
;NOMBE19;Nom du bassin d'emploi;;
;Famille_metier;Code famille de métier;;
;Libellé de famille de métier;libellé famille de métier;;
;code métier BMO ;Code métier BMO (FAP);;
;nom_metier BMO;libellé métier BMO ;;
;Dept;N° de département ;;
;NomDept;Nom du département ;;
;met;Nombre de projet de recrutement ;;
;xmet;Nombre de projets de recrutement jugés difficiles;;
;smet;Nombre de projets de recrutement saisonniers;;
;REG;Code région Insee;;
;NOM_REG;Nom de la région ;;
;;;;
;;;;
"Pour plus d'information consulter la rubrique en savoir plus, en particulier ""source et méthode"" ";;;;
https://statistiques.pole-emploi.org/bmo/static/methode_2019;;;;
